ticket,time,date,hour,symbol,dir,comment,signal_type,lot,pos_mult,entry,initial_sl,tp,exit,reason,exit_signal,risk,r,duration_min,mods,max_lock_r,bounce_sec,bounce_ob,confirm_pos,touch,confirm,touch_count,entry_count,close_time,stage,ob_age,strength,score,ds,fresh,cont,h1,deep,htf,risk_atr,spread_risk,peak_r,raw_peak_r,dtp_peak_r,giveback_r,bars_held,last_sl,be,trail,partial,dtp_partial,rev,addon,pnl_proxy
30,,,,,,,,,,,,,57153.03,MARKET_CLOSE,market_close,,,,,,,,,,,,,2024-09-10 10:50:00,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,107237.62,MARKET_CLOSE,market_close,,,,,,,,,,,,,2025-07-01 04:25:00,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,107459.66,SL,sl,,,,,,,,,,,,,2025-11-03 10:03:36,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,92682.31,TP,tp,,,,,,,,,,,,,2026-01-06 16:34:20,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,73009.22,MARKET_CLOSE,market_close,,,,,,,,,,,,,2026-04-11 03:34:21,,,,,,,,,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,73566.57,TP,tp,,,,,,,,,,,,,2026-05-29 05:47:30,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-06-13 15:11:33,2024-06-13,15,BTCUSDm,sell,WT V11-BTC1-TREND147 S x0.5,ob,0.02,,67440.29,67938.1,65847.31,66794.96,MARKET_CLOSE,market_close,497.8100000000122,1.2963379602659073,98.45,0,,16,0.261,-0.414,67516.18,67474.68,,,2024-06-13 16:50:00,,,,,,,,,,,,,,,,,,,,,,,,,12.906599999999743
4,2024-07-07 08:05:28,2024-07-07,8,BTCUSDm,sell,WT V11-BTC1-TREND147 S x0.5,ob,0.04,,57491.83,57743.51,56034.12,57744.55,SL,sl,251.6800000000003,-1.004132231404962,58.017,0,,28,0.26,-0.759,57542.1,57523.43,,,2024-07-07 09:03:29,,,,,,,,,,,,,,,,,,,,,,,,,-10.108800000000047
5,2024-07-07 08:41:15,2024-07-07,8,BTCUSDm,sell,WT V11-BTC1-TREND147 S x0.2,ob,0.02,,57483.59,57705.96,56034.12,57707.64,SL,sl,222.37000000000262,-1.0075549759410005,12.367,0,,75,0.256,-0.676,57535.89,57517.49,,,2024-07-07 08:53:37,,,,,,,,,,,,,,,,,,,,,,,,,-4.4810000000000585
8,2024-07-12 22:26:00,2024-07-12,22,BTCUSDm,sell,WT V11-BTC1-TREND147 S x0.1,ob,0.01,,57781.55,57946.66,56540.47,57946.91,SL,sl,165.11000000000058,-1.0015141420870934,80.6,0,,60,0.277,-0.987,57835.11,57809.78,,,2024-07-12 23:46:36,,,,,,,,,,,,,,,,,,,,,,,,,-1.653600000000006
10,2024-07-15 20:00:19,2024-07-15,20,BTCUSDm,buy,WT V11-BTC1-TREND147 B x10.3,ob,0.39,,63442.16,63092.89,64559.82,64490.38,MARKET_CLOSE,market_close,349.2700000000041,3.0011738769432865,160.283,0,,19,0.251,-1.049,63396.64,63418.29,,,2024-07-15 22:40:36,,,,,,,,,,,,,,,,,,,,,,,,,408.80579999999765
11,2024-07-15 22:40:36,2024-07-15,22,BTCUSDm,buy,WT V11-BTC1-TREND147 B x10.3,ob,0.6,,64512.79,64233.37,,64484.26,MARKET_CLOSE,market_close,279.41999999999825,-0.10210435902941455,3.917,0,,,,,,,,,2024-07-15 22:44:31,,,,,,,,,,,,,,,,,,,,,,,,True,-17.117999999999302
12,2024-07-15 22:40:36,2024-07-15,22,BTCUSDm,buy,WT V11-BTC1-TREND147 B x10.3,ob,0.6,,64514.71,64235.29,,64485.54,MARKET_CLOSE,market_close,279.41999999999825,-0.10439481783694236,3.1,0,,,,,,,,,2024-07-15 22:43:42,,,,,,,,,,,,,,,,,,,,,,,,True,-17.50199999999895
